Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
1MT,LR00292,32,C
1MT,LR00292,33,C
1MY,LR00293,0,C
1MY,LR00293,1,C
1MY,LR00293,2,C
1MY,LR00293,3,C
1MY,LR00293,4,O
1MY,LR00293,5,N
1MY,LR00293,6,C
1MY,LR00293,7,O
1MY,LR00293,8,C
1MY,LR00293,9,C
1MY,LR00293,10,C
1MY,LR00293,11,O
1MY,LR00293,12,O
1MY,LR00293,13,O
1MY,LR00293,14,C
1MY,LR00293,15,C
1MY,LR00293,16,C
1MY,LR00293,17,C
1MY,LR00293,18,C
1MY,LR00293,19,C
1MY,LR00293,20,Cl
1MY,LR00293,21,C
1MY,LR00293,22,C
1MY,LR00293,23,C
1MY,LR00293,24,C
1MY,LR00293,25,C
1MY,LR00293,26,C
1MY,LR00293,27,Cl
1MY,LR00293,28,C
1MY,LR00293,29,C
1OY,LR00288,0,C
1OY,LR00288,1,C
1OY,LR00288,2,C
1OY,LR00288,3,C
1OY,LR00288,4,C
1OY,LR00288,5,C
1OY,LR00288,6,N
1OY,LR00288,7,C
1OY,LR00288,8,C
1OY,LR00288,9,O
1OY,LR00288,10,N
1OY,LR00288,11,C
1OY,LR00288,12,C
1OY,LR00288,13,C
1OY,LR00288,14,O
1OY,LR00288,15,C
1OY,LR00288,16,O
1OY,LR00288,17,C
1OY,LR00288,18,C
1OY,LR00288,19,C
1OY,LR00288,20,C
1OY,LR00288,21,C
1OY,LR00288,22,C
1OY,LR00288,23,Cl
1OY,LR00288,24,C
1OY,LR00288,25,F
1OY,LR00288,26,C
1OY,LR00288,27,C
1OY,LR00288,28,N
1OY,LR00288,29,C
1OY,LR00288,30,C
1OY,LR00288,31,C
1OY,LR00288,32,C
1OY,LR00288,33,Cl
1OY,LR00288,34,C
1OY,LR00288,35,C
1OY,LR00288,36,F
1RH,LR00564,0,C
1RH,LR00564,1,N
1RH,LR00564,2,C
1RH,LR00564,3,C
1RH,LR00564,4,C
1RH,LR00564,5,O
1RH,LR00564,6,N
1RH,LR00564,7,C
1RH,LR00564,8,C
1RH,LR00564,9,N
1RH,LR00564,10,C
1RH,LR00564,11,O
1RH,LR00564,12,C
1RH,LR00564,13,C
1RH,LR00564,14,C
1RH,LR00564,15,C
1RH,LR00564,16,N
