SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CC(O)N[C@@H](CC1CCCCC1)[C@@H](O)N[C@H](C(O)N1C[C@H](O)C[C@H]1[C@H](O)NCC1CCC(C2SCNC2C)CC1)C(C)(C)C,LR00512,,,,,,,,,,,,,,,,,,,
CC(O)N[C@@H]1CCCC(CNC(O)[C@H](CC2CCC(O[PH](O)(O)O)CC2)NC(O)CC2CCC(F)CC2)C1,LR00381,,,,,,,,,,,,,,,,,,,
CC(O)N[C@H](C(O)N1C[C@H](O)[C@H](F)[C@H]1[C@H](O)NCC1CCC(C2SCNC2C)CC1)C(C)(C)C,LR00526,,,,,,,,,,,,,,,,,,,
CC(O)N[C@H]([C@@H](O)N1C[C@H](O)[C@@H](F)[C@H]1[C@H](O)NCC1CCC(C2SCNC2C)CC1)C(C)(C)C,LR00527,,,,,,,,,,,,,,,,,,,
CC(O)N[C@H]([C@@H](O)N[C@H](C(O)N1C[C@H](O)C[C@H]1C(O)NCC1CCC(C2SCNC2C)CC1)C(C)(C)C)C(C)(C)C,LR00513,,,,,,,,,,,,,,,,,,,
CC(O)N[C@H]1CN[C@@H]2CCCCC2C1,LR00439,,,,,,,,,,,,,,,,,,,
CC(O)O[C@H]1C[C@H](O)[C@]2(C)[C@@H]1[C@H](C)C[C@@H]1OC(O)[C@H](C)[C@H]1[C@@H]2OC(C)O,LR00180,,,,,,,,,,,,,,,,,,,
CC(O)[C@H]1CCC2SC3CCCCC3N(CCCN(C)C)C2C1,LR00485,,,,,,,,,,,,,,,,,,,
CC1(C)CC[C@]2(C(O)O)CC[C@]3(C)[C@H](C(O)CC4[C@@]5(C)CC(CN)C(O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,LR00160,,,,,,,,,,,,,,,,,,,
CC1(C)CN(C2NCCCC2F)C[C@@H]1O,LR00454,,,,,,,,,,,,,,,,,,,
CC1C(Cl)CCC[C@H]1NC(O)[C@@H]1CCCO1,LR00470,,,,,,,,,,,,,,,,,,,
CC1C([C@@H](C)NS(C)(O)O)CNN1C,LR00476,,,,,,,,,,,,,,,,,,,
CC1C2NN3C(C[C@H]4[C@@H]3[C@H](C3CCCC(Cl)C3F)[C@]3(C(O)NC5CC(Cl)CCC53)N4CC3CC3)C2CC[C@@H]1C(O)O,LR00372,,,,,,,,,,,,,,,,,,,
CC1C2[C@H](C3CCC(Cl)CC3)N[C@@H](CC(O)NCCCCCCCCC(O)N[C@@H](C)C(O)N[C@H]3CCC(O)NC3O)[C@@H]3NNC(C)N3[C@@H]2S[C@@H]1C,LR00112,,,,,,,,,,,,,,,,,,,
CC1CC(C(O)NC2CCCC([C@]3(C)CCNC(O)O3)C2)NC(C2CC2)N1,LR00116,,,,,,,,,,,,,,,,,,,
CC1CC(C)C(C)C(S(O)(O)N(CC(O)O)C2CCCC(N3NCC(C(O)O)[C@H]3C3CC3)C2)C1C,LR00204,,,,,,,,,,,,,,,,,,,
CC1CC(C)C(C)C(S(O)(O)NC2CCC(N3CC[C@H](C(O)O)C3)C3CCCCC23)C1C,LR00170,,,,,,,,,,,,,,,,,,,
CC1CC(C)C(C)C(S(O)(O)NC2CCC[C@H](N3NCC(C(O)O)[C@H]3C3CC3)C2)C1C,LR00200,,,,,,,,,,,,,,,,,,,
CC1CC(C2SCNC2C)CCC1[C@H](C)NC(O)[C@@H]1C[C@@H](O)CN1C(O)[C@@H](NC(O)C1(F)CC1)C(C)(C)C,LR00536,,,,,,,,,,,,,,,,,,,
CC1CC(CC(O)N2C[C@H](O)C[C@H]2C(O)NCC2CCC(N(O)O)CC2)ON1,LR00498,,,,,,,,,,,,,,,,,,,
CC1CC(CN2NC(C)CCC2O)ON1,LR00389,,,,,,,,,,,,,,,,,,,
