Ligase,Unified_Scaffold_ID,Recruiter_Count,Ligase_Local_Scaffold_Count,Scaffold_ID_Group,Recruiter_Code_Group,Total_Recruiters_For_Ligase,Supercluster_Density_For_Ligase
TRIM21,LR-SCAF00010,1,1,TRIM21_SCAF_29,LR00423,106,0.009433962264150943
TRIM21,LR-SCAF00029,1,1,TRIM21_SCAF_51,LR00456,106,0.009433962264150943
TRIM21,LR-SCAF00035,1,1,TRIM21_SCAF_71,LR00480,106,0.009433962264150943
TRIM21,LR-SCAF00038,1,1,TRIM21_SCAF_68,LR00473,106,0.009433962264150943
TRIM21,LR-SCAF00044,1,1,TRIM21_SCAF_62,LR00467,106,0.009433962264150943
TRIM21,LR-SCAF00050,1,1,TRIM21_SCAF_72,LR00485,106,0.009433962264150943
TRIM21,LR-SCAF00064,1,1,TRIM21_SCAF_10,LR00396,106,0.009433962264150943
TRIM21,LR-SCAF00066,1,1,TRIM21_SCAF_1,LR00387,106,0.009433962264150943
TRIM21,LR-SCAF00068,1,1,TRIM21_SCAF_73,LR00486,106,0.009433962264150943
TRIM21,LR-SCAF00071,1,1,TRIM21_SCAF_59,LR00464,106,0.009433962264150943
TRIM21,LR-SCAF00073,1,1,TRIM21_SCAF_34,LR00432,106,0.009433962264150943
TRIM21,LR-SCAF00092,1,1,TRIM21_SCAF_5,LR00391,106,0.009433962264150943
TRIM21,LR-SCAF00094,1,1,TRIM21_SCAF_41,LR00441,106,0.009433962264150943
