RECRUITER_CODE,MasterRecruiter,Ligand
LR00127,LR00126,VM8
LR00125,LR00125,VMR
LR00132,LR00132,VMZ
LR00133,LR00132,VMZ
LR00131,LR00131,VN5
LR00064,LR00064,VP9
LR00134,LR00134,VUF
LR00135,LR00134,VUF
LR00414,LR00414,VW4
LR00411,LR00411,VWV
LR00536,LR00536,VYQ
LR00275,LR00275,VZV
LR00447,LR00447,VZY
LR00430,LR00430,W0Y
LR00071,LR00071,W0Z
LR00437,LR00437,W1A
LR00070,LR00070,W1B
LR00069,LR00069,W1F
LR00067,LR00067,W1X
LR00068,LR00068,W26
LR00066,LR00066,W2F
LR00538,LR00538,WBN
LR00454,LR00454,WGM
LR00474,LR00474,WHP
LR00440,LR00440,WJA
LR00463,LR00463,WKG
LR00426,LR00426,WKS
LR00484,LR00484,WNY
LR00267,LR00267,WW8
LR00268,LR00267,WW8
LR00374,LR00267,WW8
LR00558,LR00558,X22
LR00560,LR00558,X22
LR00559,LR00559,X23
LR00502,LR00502,X6C
LR00119,LR00119,XJI
LR00174,LR00174,XMS
LR00180,LR00180,XXT
LR00175,LR00175,XYY
LR00297,LR00297,Y30
LR00008,LR00008,Y70
LR00011,LR00008,Y70
LR00013,LR00008,Y70
LR00026,LR00008,Y70
LR00027,LR00008,Y70
LR00042,LR00008,Y70
LR00060,LR00008,Y70
LR00063,LR00008,Y70
LR00081,LR00008,Y70
LR00086,LR00008,Y70
LR00087,LR00008,Y70
LR00266,LR00266,YIN
LR00151,LR00151,YK3
LR00062,LR00062,YOT
LR00157,LR00157,YP2
LR00073,LR00073,YQO
LR00590,LR00590,ZHW
LR00432,LR00432,ZQA
LR00497,LR00497,ZTD
LR00441,LR00441,ZTQ
LR00498,LR00498,ZUN
