Ligase,Scaffold_ID,Original_Scaffold_ID,RECRUITER_CODE,Scaffold_SMILES,Scaffold_Hash
DCAF15,LR-SCAF00174,DCAF15_SCAF_3,LR00149,C1COC(SNC2CCCC3CCNC32)C1,7fdfa2c9
DCAF15,LR-SCAF00007,DCAF15_SCAF_4,LR00150,C1CCN(CC2CCC(SNC3CCCC4CCNC43)O2)CC1,043dd9aa
DCAF16,LR-SCAF00006,DCAF16_SCAF_1,LR00151,C1CCC(C2NCC3NNCN3[C@@H]3SCC[C@H]23)CC1,032061a8
GID4,LR-SCAF00099,GID4_SCAF_1,LR00152,C1CCC2N[C@@H](CNCCN[C@H]3CC[C@@H](C4NC5CCCCC5N4)CC3)CC2C1,45d0eae5
HOIP(RNF31),LR-SCAF00175,HOIP(RNF31)_SCAF_1,LR00153,C1CNC2CCCC2C1,80019507
HOIP(RNF31),LR-SCAF00197,HOIP(RNF31)_SCAF_2,LR00154,C1CCC(CCCC2CCCCC2)CC1,88207aea
HOIP(RNF31),LR-SCAF00272,HOIP(RNF31)_SCAF_3,LR00155,C(CC1CCC(C2CNNC2)CC1)C[C@@H]1CCC[C@H](C2CNNC2)C1,b54cf8a8
HUWE1,LR-SCAF00319,HUWE1_SCAF_1,LR00156,C1CCC2CNCC2C1,d442e4d3
HUWE1,LR-SCAF00319,HUWE1_SCAF_1,LR00157,C1CCC2CNCC2C1,d442e4d3
KEAP1,LR-SCAF00015,KEAP1_SCAF_1,LR00158,C1CCC(CNCNC2NNC(C3CCCO3)O2)CC1,0b61e353
KEAP1,LR-SCAF00015,KEAP1_SCAF_1,LR00159,C1CCC(CNCNC2NNC(C3CCCO3)O2)CC1,0b61e353
KEAP1,LR-SCAF00305,KEAP1_SCAF_2,LR00160,C1CC[C@@H]2CCC3C(CC[C@H]4C3CCC3CCCC[C@H]34)C2C1,cb318e39
KEAP1,LR-SCAF00080,KEAP1_SCAF_3,LR00161,C1CCC(CN2CCC3CCCCC3[C@H]2CN2CC3CCCCC3C2)CC1,392becf9
KEAP1,LR-SCAF00157,KEAP1_SCAF_4,LR00162,C1CCC(NCCSC2NCC(SC3CCCCC3)CN2)CC1,73e3831c
KEAP1,LR-SCAF00157,KEAP1_SCAF_4,LR00163,C1CCC(NCCSC2NCC(SC3CCCCC3)CN2)CC1,73e3831c
KEAP1,LR-SCAF00118,KEAP1_SCAF_5,LR00164,C1CCC(SN[C@H]2CC[C@@H](NSC3CCCCC3)C3CCCCC32)CC1,5429c8b4
KEAP1,LR-SCAF00279,KEAP1_SCAF_6,LR00165,C1CCC2CN(C[C@@H]3C4CCCCC4CCN3C[C@@H]3CCCC[C@@H]3C3NNNN3)CC2C1,b91bbdb2
KEAP1,LR-SCAF00080,KEAP1_SCAF_3,LR00166,C1CCC(CN2CCC3CCCCC3[C@H]2CN2CC3CCCCC3C2)CC1,392becf9
KEAP1,LR-SCAF00080,KEAP1_SCAF_3,LR00167,C1CCC(CN2CCC3CCCCC3[C@H]2CN2CC3CCCCC3C2)CC1,392becf9
KEAP1,LR-SCAF00125,KEAP1_SCAF_7,LR00168,C1CCC(SNC2CCC(NSC3CCCCC3)C3CCCCC23)CC1,56acc5a7
KEAP1,LR-SCAF00280,KEAP1_SCAF_8,LR00169,C1CCC(SN[C@H]2CC[C@@H](NSC3CCCCC3)C3CCCC[C@@H]32)CC1,b9bcbd87
KEAP1,LR-SCAF00367,KEAP1_SCAF_9,LR00170,C1CCC(SNC2CCC(N3CCCC3)C3CCCCC23)CC1,fda7e042
KEAP1,LR-SCAF00036,KEAP1_SCAF_10,LR00171,C1CC[C@@H]2CCC3CNCNC3C2C1,14f6f8f5
KEAP1,LR-SCAF00012,KEAP1_SCAF_11,LR00172,C1CNCC(C2NNC3C2CC[C@H]2CCCCC32)C1,086ab553
KEAP1,LR-SCAF00231,KEAP1_SCAF_12,LR00173,C1CCCCC1,9970801b
KEAP1,LR-SCAF00131,KEAP1_SCAF_13,LR00174,C1CCC(CC2CCC3NNNC3C2)CC1,5bb4cd96
KEAP1,LR-SCAF00131,KEAP1_SCAF_13,LR00175,C1CCC(CC2CCC3NNNC3C2)CC1,5bb4cd96
KEAP1,LR-SCAF00069,KEAP1_SCAF_14,LR00176,C1CCC(SNCC2CCCC(CC3CCC4NNNC4C3)C2)CC1,335aedd3
KEAP1,LR-SCAF00321,KEAP1_SCAF_15,LR00177,C1CC(CC2CCC3NNNC3C2)CC(CN2CCOC3CCCCC3S2)C1,d6c24203
KEAP1,LR-SCAF00216,KEAP1_SCAF_16,LR00178,C1CC2OCNC2CO1,90a9b679
KEAP1,LR-SCAF00231,KEAP1_SCAF_12,LR00179,C1CCCCC1,9970801b
